Execution Time (s),Number of Workers,Number of Partitions,Executor Cores,Executor Memory
85.88080358505249,9,6,2,2g
84.57033324241638,9,6,2,2g
83.8433039188385,9,6,2,2g
84.42311263084412,9,6,2,2g
81.57902503013611,9,6,2,2g
85.29378986358643,9,6,2,2g
76.16282415390015,3,6,,
94.66704797744751,18,6,2,
81.40497040748596,9,6,2,2g
83.01720380783081,9,6,2,2g
